node_id,name,original_name,former_name,jurisdiction,jurisdiction_description,company_type,address,internal_id,incorporation_date,inactivation_date,struck_off_date,dorm_date,status,service_provider,ibcRUC,country_codes,countries,sourceID,valid_until,note,node_type,degree,degree_centrality,betweenness_centrality
162141,PEARL CAPITAL VENTURES INC.,,,BVI,British Virgin Islands,Business Company Limited by Shares,"Portcullis TrustNet Chambers P.O. Box 3444 Road Town, Tortola BRITISH VIRGIN ISLANDS",,23-MAR-2006,,,,Active,Portcullis Trustnet,1017454,VGB,British Virgin Islands,Offshore Leaks,The Offshore Leaks data is current through 2010,,Entity,6,6.0967431198253896e-05,1.824056266772222e-06
82012515,CAGIDAW PROPERTIES LTD.,,,KY,Cayman Islands,,,,27-NOV-1991,,,,,Appleby,41370,CYM,Cayman Islands,Paradise Papers - Appleby,Appleby data is current through 2014,,Entity,5,6.0967431198253896e-05,1.4087518128139413e-07
166245,Hibbertia Trading Company Limited,,,BVI,British Virgin Islands,Standard International Company,"6 Temasek Boulevard #09-05 Suntec Four Singapore 038986;Portcullis TrustNet Chambers P.O. Box 3444 Road Town, Tortola BRITISH VIRGIN ISLANDS",,26-AUG-2008,,,,Active,Portcullis Trustnet,1500677,SGP;VGB,Singapore;British Virgin Islands,Offshore Leaks,The Offshore Leaks data is current through 2010,,Entity,5,6.0967431198253896e-05,1.824056266772222e-06
145766,SMART WORLD DEVELOPMENT LIMITED,,,BVI,British Virgin Islands,Standard International Company,"Portcullis TrustNet Chambers P.O. Box 3444 Road Town, Tortola BRITISH VIRGIN ISLANDS",,18-FEB-2005,,,,Struck / Defunct / Deregistered,Portcullis Trustnet,642929,VGB,British Virgin Islands,Offshore Leaks,The Offshore Leaks data is current through 2010,,Entity,6,7.316091743790467e-05,3.4512373934132823e-06
162150,Marco Universal Limited,,,BVI,British Virgin Islands,Business Company Limited by Shares,"Portcullis TrustNet Chambers P.O. Box 3444 Road Town, Tortola BRITISH VIRGIN ISLANDS",,30-MAR-2006,,,,Not To Be Renewed / In Deregistration,Portcullis Trustnet,1018876,VGB,British Virgin Islands,Offshore Leaks,The Offshore Leaks data is current through 2010,,Entity,5,6.0967431198253896e-05,1.824056266772222e-06
166247,Longreach Properties Limited,,,BVI,British Virgin Islands,Standard International Company,"Portcullis TrustNet Chambers P.O. Box 3444 Road Town, Tortola BRITISH VIRGIN ISLANDS",,26-AUG-2008,,,,Active,Portcullis Trustnet,1500679,VGB,British Virgin Islands,Offshore Leaks,The Offshore Leaks data is current through 2010,,Entity,6,6.0967431198253896e-05,1.824056266772222e-06
162159,Aight Inc.,,,BVI,British Virgin Islands,Business Company Limited by Shares,"Portcullis TrustNet Chambers P.O. Box 3444 Road Town, Tortola BRITISH VIRGIN ISLANDS",,05-APR-2006,,,,Struck / Defunct / Deregistered,Portcullis Trustnet,1019907,VGB,British Virgin Islands,Offshore Leaks,The Offshore Leaks data is current through 2010,,Entity,5,6.0967431198253896e-05,4.707417370519248e-06
127344,GEYSER HOLDINGS LIMITED,,,BVI,British Virgin Islands,Standard International Company,"David Chong & Co. Office B1, 7/F. Loyong Court 212-220 Lockhart Road Wanchai Hong Kong;Portcullis TrustNet Chambers P.O. Box 3444 Road Town, Tortola BRITISH VIRGIN ISLANDS",,01-OCT-1997,,,,Active,Portcullis Trustnet,251055,CYM;VGB,Cayman Islands;British Virgin Islands,Offshore Leaks,The Offshore Leaks data is current through 2010,,Entity,5,6.0967431198253896e-05,0.0001348226379935371
162161,OSKA International Group Limited,,,BVI,British Virgin Islands,Business Company Limited by Shares,"Portcullis TrustNet Chambers P.O. Box 3444 Road Town, Tortola BRITISH VIRGIN ISLANDS",,05-APR-2006,,,,Struck / Defunct / Deregistered,Portcullis Trustnet,1019899,VGB,British Virgin Islands,Offshore Leaks,The Offshore Leaks data is current through 2010,,Entity,5,6.0967431198253896e-05,1.824056266772222e-06
145779,GLOBAL PEAK HOLDINGS LIMITED,,,BVI,British Virgin Islands,Standard International Company,"Portcullis TrustNet Chambers P.O. Box 3444 Road Town, Tortola BRITISH VIRGIN ISLANDS",,21-FEB-2005,,,,Struck / Defunct / Deregistered,Portcullis Trustnet,643090,VGB,British Virgin Islands,Offshore Leaks,The Offshore Leaks data is current through 2010,,Entity,5,6.0967431198253896e-05,4.0492243843303004e-07
